groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTraffic,overlayTrafficCorrected
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,1987827786,347686580,354408035,712109054,689381860
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,1987827786,347686580,354408035,712109054,689381860
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,1987827786,347686580,364884228,712109054,689381860
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,1987827786,347686580,364884228,712109054,689381860
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,1987827786,347686580,365392432,712109054,689381860
uniform,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,1987827786,347686580,365392432,712109054,689381860
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,1988405142,347791221,374166638,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,1988405142,347791221,349642021,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,1988405142,347791221,370870051,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,1988405142,347791221,366474727,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,1988405142,347791221,349561114,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,1988405142,347791221,365961647,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,1988405142,347791221,354979244,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000,1988405142,347791221,387286472,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000,1988405142,347791221,385377527,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000,1988405142,347791221,410126701,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000,1988405142,347791221,410085889,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,1988405142,347791221,351669724,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,1988405142,347791221,351503154,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,1988405142,347791221,350165141,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,1988405142,347791221,356771728,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,1988405142,347791221,356601419,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000,1988405142,347791221,388824504,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000,1988405142,347791221,388824504,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000,1988405142,347791221,390833514,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000,1988405142,347791221,390833514,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,1988405142,347791221,347791221,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,1988405142,347791221,350079802,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,1988405142,347791221,350079802,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,1988405142,347791221,354951199,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,1988405142,347791221,354951199,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,1988405142,347791221,365768959,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,1988405142,347791221,365768959,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,1988405142,347791221,366508888,712362378,689591142
uniform,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,1988405142,347791221,366508888,712362378,689591142
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,2775583134,515176570,1549032496,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,2775583134,515176570,609058635,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,2775583134,515176570,1220689433,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,2775583134,515176570,521925014,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,2775583134,515176570,957391296,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,2775583134,515176570,515196255,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,2775583134,515176570,1568276472,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,2775583134,515176570,628026944,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,2775583134,515176570,1253213309,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,2775583134,515176570,555348865,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,2775583134,515176570,1158177348,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,2775583134,515176570,569842702,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000,2775583134,515176570,1098070732,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000,2775583134,515176570,606293110,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000,2775583134,515176570,1083716777,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000,2775583134,515176570,641243592,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,2775583134,515176570,1229217552,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,2775583134,515176570,524633972,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,2775583134,515176570,923051876,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,2775583134,515176570,548672810,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,2775583134,515176570,829256805,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,2775583134,515176570,590357286,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000,2775583134,515176570,798365001,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000,2775583134,515176570,654617416,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000,2775583134,515176570,796806215,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000,2775583134,515176570,712678608,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,2775583134,515176570,945464202,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,2775583134,515176570,515196255,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,2775583134,515176570,760318142,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,2775583134,515176570,539776983,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,2775583134,515176570,704480030,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,2775583134,515176570,571540514,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,2775583134,515176570,682071938,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,2775583134,515176570,639745605,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,2775583134,515176570,713242690,1118587766,1024361840
uniform,colocate-uniform,uniform,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,2775583134,515176570,709588032,1118587766,1024361840
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,237176076,53170975,53805322,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,237176076,53170975,54928527,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,237176076,53170975,60705566,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,237176076,53170975,60705566,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,237176076,53170975,66017242,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,237176076,53170975,66017242,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000,237176076,53170975,71834812,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000,237176076,53170975,71834812,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000,237176076,53170975,75034292,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000,237176076,53170975,75034292,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,237176076,53170975,57447252,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,237176076,53170975,57447252,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,237176076,53170975,60054006,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,237176076,53170975,60054006,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000,237176076,53170975,61078768,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000,237176076,53170975,61078768,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000,237176076,53170975,61157888,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000,237176076,53170975,61157888,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,237176076,53170975,53170975,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,237176076,53170975,54182935,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,237176076,53170975,54182935,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,237176076,53170975,54384945,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,237176076,53170975,54384945,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,237176076,53170975,54426551,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,237176076,53170975,54426551,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,237176076,53170975,54470555,117620048,100350650
wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,237176076,53170975,54470555,117620048,100350650
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,238454586,53512321,56827647,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,238454586,53512321,59971125,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,238454586,53512321,61170946,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,238454586,53512321,61163325,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,238454586,53512321,66457717,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,238454586,53512321,66457717,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000,238454586,53512321,72259482,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000,238454586,53512321,72259482,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000,238454586,53512321,75298711,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000,238454586,53512321,75298711,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,238454586,53512321,53550752,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,238454586,53512321,57994272,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,238454586,53512321,57994272,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,238454586,53512321,60701799,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,238454586,53512321,60701799,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000,238454586,53512321,61818999,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000,238454586,53512321,61818999,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000,238454586,53512321,61896705,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000,238454586,53512321,61896705,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,238454586,53512321,53512321,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,238454586,53512321,54652431,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,238454586,53512321,54652431,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,238454586,53512321,54895185,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,238454586,53512321,54895185,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000,238454586,53512321,54966163,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000,238454586,53512321,54966163,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000,238454586,53512321,55004203,118555978,101033342
wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000,238454586,53512321,55004203,118555978,101033342
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000,237507684,53267839,63698737,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,237507684,53267839,67748411,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,237507684,53267839,60878567,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,237507684,53267839,60876764,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,237507684,53267839,66105599,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,237507684,53267839,66105599,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000,237507684,53267839,71967235,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000,237507684,53267839,71967235,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000,237507684,53267839,75230643,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000,237507684,53267839,75230643,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,237507684,53267839,53297231,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,237507684,53267839,57674233,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,237507684,53267839,57674233,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,237507684,53267839,60326486,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,237507684,53267839,60326486,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000,237507684,53267839,61402458,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000,237507684,53267839,61402458,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000,237507684,53267839,61486846,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000,237507684,53267839,61486846,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,237507684,53267839,53267839,117890356,100544378
wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,237507684,53267839,54306054,117890356,100544378
